Fecha:,03/05/2026 13:16,,,,,
Operador,Nombre plan,Descripción,Fecha validez,Cifra descuento,Tipo descuento,Destinatario
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS,PROMOCION 2% DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS. EN TODA LA RED.,,2.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES CAJASIETE.,PROMOCION 3% DESCUENTO A CLIENTES CAJASIETE. EN TODA LA RED.,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS,PROMOCION 2% DESCUENTO A CLIENTES TARJETA SOLIDARIA HELPERS. EN TODA LA RED.,,2.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,EVO BANCO,"Ahorra un 2% con cada compra de carburante y tienda, sin límite de compra con las tarjetas de crédito y débito de EVO BANCO",,2.000,Porcentaje sobre el precio total,Todos los consumidores
"KUWAIT PETROLEUM ESPAÑA, S.A.",TARJETISIMA,PROGRAMA DE FIDELIZACION,,1.000,Céntimos de euro en cada litro,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Repsol Más,Todos los clientes que presenten su tarjeta de fidelización Repsol Más acumularán puntos Travel Club.,,0.000,Céntimos de euro en cada litro,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,TWYP,Ahorra un 4% con cada compra de carburante utilizando la Aplicación TWYP de ING.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,LIDL,Ahorra un 4% en cada compra de carburante por hacer tus compras en LIDL,,4.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,AHORRING,Dedicado a todo tipo de clientes que consuman carburante,,3.000,Céntimos de euro en cada litro,Todos los consumidores
"ADELFAS OIL, S.A",CONFIANZA ELECTRICIDAD,CLIENTES CON DESCUENTO FIJO + 5% TIENDA + PUNTOS CANJEABLES PRODUCTOS TIENDA,,0.020,Céntimos de euro en cada litro,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",TOPii - APP ING,AHORRA UN 4% EN CADA REPOSTAJE UTILIZANDO LA APP TOPii de ING. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
